version,v9_zwin,cost_bp,period,beta_factor_36_mean,beta_factor_37_mean,beta_factor_38_mean,beta_factor_39_mean,beta_factor_40_mean,beta_factor_41_mean,beta_factor_42_mean,beta_factor_43_mean,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio,beta_宏观增长因子_mean,beta_宏观通胀因子_生活端_mean,beta_宏观汇率因子_mean,beta_无风险收益率_mean
B1_v9_added_to_X,8,10,Full Sample,0.008841237934962934,-0.00371396999057162,-0.0019651241482057853,-0.002480251792101462,-0.0005800378685943018,-0.0029603698625114525,-0.004129573846778116,-0.0004586100869768721,0.9424925276752933,1.3257890845393567,0.9094543575862221,-0.20541475251006314,375,0.18681534178277226,0.198214135706266,0.14090879458981287,0.515970515970516,1.1034377457671767,,,,
B1_v9_added_to_X,8,10,OOS 22-26,0.008841237934962934,-0.00371396999057162,-0.0019651241482057853,-0.002480251792101462,-0.0005800378685943018,-0.0029603698625114525,-0.004129573846778116,-0.0004586100869768721,1.064505672740185,1.5822566587584435,1.4165811374659478,-0.15423711659889294,136,0.21848939007112778,0.20524962493502347,0.1380871989772954,0.5183443085606774,1.1254785319583196,,,,
B1_v9_added_to_X,8,15,Full Sample,0.008841237934962934,-0.00371396999057162,-0.0019651241482057853,-0.002480251792101462,-0.0005800378685943018,-0.0029603698625114525,-0.004129573846778116,-0.0004586100869768721,0.795158793293126,1.1170638370664112,0.7132885513717224,-0.22087185204158344,449,0.15754536338153047,0.1981306937813781,0.14103523733725895,0.5110565110565111,1.100112939569695,,,,
B1_v9_added_to_X,8,15,OOS 22-26,0.008841237934962934,-0.00371396999057162,-0.0019651241482057853,-0.002480251792101462,-0.0005800378685943018,-0.0029603698625114525,-0.004129573846778116,-0.0004586100869768721,0.8950485694546165,1.3295710642124652,1.155429236893647,-0.15898880650496083,151,0.18370031537465858,0.20524061111744296,0.13816509724019033,0.5117591721542804,1.1265185374765774,,,,
B1_v9_added_to_X,8,20,Full Sample,0.008841237934962934,-0.00371396999057162,-0.0019651241482057853,-0.002480251792101462,-0.0005800378685943018,-0.0029603698625114525,-0.004129573846778116,-0.0004586100869768721,0.6510438168079375,0.9133947083532119,0.5464369124544898,-0.23603803014940028,634,0.12897989241667807,0.19811246046243924,0.14120937119202276,0.5066339066339066,1.0945459058853413,,,,
B1_v9_added_to_X,8,20,OOS 22-26,0.008841237934962934,-0.00371396999057162,-0.0019651241482057853,-0.002480251792101462,-0.0005800378685943018,-0.0029603698625114525,-0.004129573846778116,-0.0004586100869768721,0.7300596046962716,1.0839206152957028,0.9155054171143651,-0.16371692874218635,152,0.1498837351367981,0.20530342203929303,0.13827925497653581,0.5051740357478833,1.1274698396637832,,,,
B1_v9_added_to_X,13,5,Full Sample,-0.002986699401809398,-0.001933447511182644,-0.003828018688735932,-0.0021141065773311197,-0.00048538820148661256,-0.003654291190579565,-0.003044706858675181,-0.0005773056552886488,1.0929814477408109,1.540026439580931,1.1431256896216082,-0.1896613445971691,264,0.2168067553372004,0.1983627039464753,0.1407811903516393,0.5199017199017198,1.1110188159669292,,,,
B1_v9_added_to_X,13,5,OOS 22-26,-0.002986699401809398,-0.001933447511182644,-0.003828018688735932,-0.0021141065773311197,-0.00048538820148661256,-0.003654291190579565,-0.003044706858675181,-0.0005773056552886488,1.238385692974306,1.842214728036384,1.7012933717035215,-0.14946175705820175,136,0.25427829660628065,0.20533045403291528,0.13802858740431187,0.522107243650047,1.1370945800208763,,,,
B1_v9_added_to_X,13,10,Full Sample,-0.002986699401809398,-0.001933447511182644,-0.003828018688735932,-0.0021141065773311197,-0.00048538820148661256,-0.003654291190579565,-0.003044706858675181,-0.0005773056552886488,0.9424925276752933,1.3257890845393567,0.9094543575862221,-0.20541475251006314,375,0.18681534178277226,0.198214135706266,0.14090879458981287,0.515970515970516,1.1034377457671767,,,,
B1_v9_added_to_X,13,10,OOS 22-26,-0.002986699401809398,-0.001933447511182644,-0.003828018688735932,-0.0021141065773311197,-0.00048538820148661256,-0.003654291190579565,-0.003044706858675181,-0.0005773056552886488,1.064505672740185,1.5822566587584435,1.4165811374659478,-0.15423711659889294,136,0.21848939007112778,0.20524962493502347,0.1380871989772954,0.5183443085606774,1.1254785319583196,,,,
B1_v9_added_to_X,13,15,Full Sample,-0.002986699401809398,-0.001933447511182644,-0.003828018688735932,-0.0021141065773311197,-0.00048538820148661256,-0.003654291190579565,-0.003044706858675181,-0.0005773056552886488,0.795158793293126,1.1170638370664112,0.7132885513717224,-0.22087185204158344,449,0.15754536338153047,0.1981306937813781,0.14103523733725895,0.5110565110565111,1.100112939569695,,,,
B1_v9_added_to_X,13,15,OOS 22-26,-0.002986699401809398,-0.001933447511182644,-0.003828018688735932,-0.0021141065773311197,-0.00048538820148661256,-0.003654291190579565,-0.003044706858675181,-0.0005773056552886488,0.8950485694546165,1.3295710642124652,1.155429236893647,-0.15898880650496083,151,0.18370031537465858,0.20524061111744296,0.13816509724019033,0.5117591721542804,1.1265185374765774,,,,
B1_v9_added_to_X,13,20,Full Sample,-0.002986699401809398,-0.001933447511182644,-0.003828018688735932,-0.0021141065773311197,-0.00048538820148661256,-0.003654291190579565,-0.003044706858675181,-0.0005773056552886488,0.6510438168079375,0.9133947083532119,0.5464369124544898,-0.23603803014940028,634,0.12897989241667807,0.19811246046243924,0.14120937119202276,0.5066339066339066,1.0945459058853413,,,,
B1_v9_added_to_X,13,20,OOS 22-26,-0.002986699401809398,-0.001933447511182644,-0.003828018688735932,-0.0021141065773311197,-0.00048538820148661256,-0.003654291190579565,-0.003044706858675181,-0.0005773056552886488,0.7300596046962716,1.0839206152957028,0.9155054171143651,-0.16371692874218635,152,0.1498837351367981,0.20530342203929303,0.13827925497653581,0.5051740357478833,1.1274698396637832,,,,
B1_baseline_NO_V9,0,5,Full Sample,,,,,,,,,1.0929814477408109,1.540026439580931,1.1431256896216082,-0.1896613445971691,264,0.2168067553372004,0.1983627039464753,0.1407811903516393,0.5199017199017198,1.1110188159669292,,,,
B1_baseline_NO_V9,0,5,OOS 22-26,,,,,,,,,1.238385692974306,1.842214728036384,1.7012933717035215,-0.14946175705820175,136,0.25427829660628065,0.20533045403291528,0.13802858740431187,0.522107243650047,1.1370945800208763,,,,
B1_baseline_NO_V9,0,10,Full Sample,,,,,,,,,0.9424925276752933,1.3257890845393567,0.9094543575862221,-0.20541475251006314,375,0.18681534178277226,0.198214135706266,0.14090879458981287,0.515970515970516,1.1034377457671767,,,,
B1_baseline_NO_V9,0,10,OOS 22-26,,,,,,,,,1.064505672740185,1.5822566587584435,1.4165811374659478,-0.15423711659889294,136,0.21848939007112778,0.20524962493502347,0.1380871989772954,0.5183443085606774,1.1254785319583196,,,,
B1_baseline_NO_V9,0,15,Full Sample,,,,,,,,,0.795158793293126,1.1170638370664112,0.7132885513717224,-0.22087185204158344,449,0.15754536338153047,0.1981306937813781,0.14103523733725895,0.5110565110565111,1.100112939569695,,,,
B1_baseline_NO_V9,0,15,OOS 22-26,,,,,,,,,0.8950485694546165,1.3295710642124652,1.155429236893647,-0.15898880650496083,151,0.18370031537465858,0.20524061111744296,0.13816509724019033,0.5117591721542804,1.1265185374765774,,,,
B1_baseline_NO_V9,0,20,Full Sample,,,,,,,,,0.6510438168079375,0.9133947083532119,0.5464369124544898,-0.23603803014940028,634,0.12897989241667807,0.19811246046243924,0.14120937119202276,0.5066339066339066,1.0945459058853413,,,,
B1_baseline_NO_V9,0,20,OOS 22-26,,,,,,,,,0.7300596046962716,1.0839206152957028,0.9155054171143651,-0.16371692874218635,152,0.1498837351367981,0.20530342203929303,0.13827925497653581,0.5051740357478833,1.1274698396637832,,,,
