factor_idx,factor_name,IC_type,IC_mean,IC_std,ICIR,pct_positive,n_obs,method
1,宏观通胀因子_生活端,时间序列,-0.0245,0.0,0.0,0.0,147,rolling_208
2,宏观通胀因子_生产端,时间序列,-0.1449,0.0,0.0,0.0,147,rolling_208
3,无风险收益率,时间序列,0.1198,0.0,0.0,1.0,147,rolling_208
4,信用利差因子,时间序列,0.0368,0.0,0.0,1.0,147,rolling_208
5,期限利差因子_债,时间序列,-0.164,0.0,0.0,0.0,147,rolling_208
6,期限利差因子_股,时间序列,-0.0716,0.0,0.0,0.0,147,rolling_208
7,宏观汇率因子,时间序列,-0.0572,0.0,0.0,0.0,147,rolling_208
8,dxy_logret,时间序列,0.0913,0.0,0.0,1.0,147,rolling_208
9,vix,时间序列,-0.0249,0.0,0.0,0.0,147,rolling_208
10,vix_rank20,时间序列,0.2755,0.0,0.0,1.0,147,rolling_208
11,real_rate,时间序列,0.2584,0.0,0.0,1.0,147,rolling_208
12,real_rate_diff,时间序列,0.0222,0.0,0.0,1.0,147,rolling_208
13,real_rate_rank20,时间序列,0.2991,0.0,0.0,1.0,147,rolling_208
14,tf_dummy,时间序列,0.0893,0.0,0.0,1.0,147,rolling_208
15,cn_us_spread,时间序列,0.2557,0.0,0.0,1.0,147,rolling_208
16,gold_oil_corr,时间序列,0.2393,0.0,0.0,1.0,147,rolling_208
17,f1_second_mom,截面,0.0198,0.3245,0.0609,0.5442,147,rolling_208
18,f2_mom_term,截面,,,,0.5238,147,rolling_208
19,f3_amt_vol,截面,0.0048,0.1564,0.0307,0.5102,147,rolling_208
20,f4_vol_vol,截面,0.0063,0.207,0.0305,0.483,147,rolling_208
21,f5_turnover,截面,0.0157,0.2183,0.0721,0.517,147,rolling_208
22,f6_ls_total,截面,0.0013,0.2111,0.006,0.5034,147,rolling_208
23,f7_ls_change,截面,0.0053,0.2694,0.0198,0.5102,147,rolling_208
24,f8_pv_rankcov,截面,0.0253,0.2298,0.1099,0.5646,147,rolling_208
25,f9_pv_corr,截面,0.021,0.245,0.0856,0.5238,147,rolling_208
26,f10_first_div,截面,-0.0133,0.2312,-0.0573,0.4966,147,rolling_208
27,f11_vol_range,截面,0.0241,0.2227,0.108,0.5646,147,rolling_208
28,f12_amihud,截面,-0.0085,0.1395,-0.0611,0.4898,147,rolling_208
29,f13_rv,截面,0.0334,0.3443,0.097,0.5374,147,rolling_208
30,f14_rs,截面,0.0384,0.2644,0.1452,0.5646,147,rolling_208
31,f15_max5,截面,0.0291,0.2883,0.1008,0.551,147,rolling_208
32,f16_52w_high,截面,0.0391,0.3511,0.1115,0.5374,147,rolling_208
33,f17_idio_vol,截面,-0.0486,0.2432,-0.1998,0.483,147,rolling_208
34,f18_mom_short,截面,0.025,0.3179,0.0788,0.5306,147,rolling_208
35,f19_mom_mid,截面,0.0462,0.3509,0.1318,0.5578,147,rolling_208
36,f20_mom_long,截面,0.0484,0.3619,0.1339,0.5306,147,rolling_208
37,f21_reversal,截面,0.025,0.3179,0.0788,0.5306,147,rolling_208
38,f22_rsi,截面,0.0477,0.306,0.156,0.5646,147,rolling_208
-1,TOTAL,截面,0.0728,0.3045,0.239,0.6259,147,rolling_208
